机房位置,项目平台,厂家信息,设备类型,U数,导轨位置,机柜号,主机名,IP地址,远控卡ip,远控卡ip,硬件信息,序列号,供应商,CPU,硬盘,内存,状态,是否上传
idc,platform,manufacturer,machine_type,uhight ,railnum,cabinet, hostname,ipadd,manager_ip,remote_card_ip,product_name,serial_number,suppliers,cpu,disk,memory, status,
兴议,91彩站,infiniband,交换机,1,29,E04,IB Switch 2（DB）,,,,,,沃趣_江南,,,,已使用,y
兴议,91彩站,h3c,交换机,1,40,E03,91cz-3LINE-SW-1, ,,,S5028 ,,,,,,已使用,y
兴议,91彩站,h3c,交换机,1,36,E02,E02-XY-ZW-SW-1-1,,,,S6300-42QT,210235A1DSH172000023,,,,,已使用,y
兴议,91彩站,h3c,路由器,1,34,E02,E02-XY-RU-PN-1-1,,,,R8300,219801A0P29175Q00033,,,,,已使用,y
兴议,91彩站,h3c,交换机,1,40,E02,E02-XY-bgp-aggregate-1,,,,5130S-28S-HI,219801A12S9175Q00200,,,,,已使用,y
兴议,91彩站,h3c,交换机,1,38,E02,E02-XY-bgp-aggregate-2,,,,5130S-28S-HI,219801A12S9176Q00014,,,,,已使用,y
三墩,熊猫彩站,dell,物理机,1,16,H19,88LM-WEB-PB-1-1,10.0.10.1,,172.16.16.99,r430,8KDRZG2,,E5-2660 v4 @ 2.00GHz --- 2*14C*2=56,HDD --------- 8*1.2T RAID-10=4.4T,16GB*4=64GB,已使用,y
三墩,熊猫彩站,dell,物理机,1,14,H19,88LM-WEB-PD-1-2,10.0.10.2,,172.16.16.230,r630,CMJ4X72,,E5-2620 v3 @ 2.40GHz ---- 2*6C*2=24,HDD --------- 8*1.2T RAID-10=4.4T,16GB*4=64GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,34,H19,88LM-VS-VM-1-1,10.0.16.100,,172.16.16.100,r730xd,8LTSZG2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD --------- 24*1.2T RAID-10=13T,32GB*16=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,31,H19,88LM-VS-VM-1-2,10.0.16.101,,172.16.16.101,r820,7Q33822,,E5-4603 v2 @ 2.20GHz ---- 2*4C*2=16, HDD--16*0.3TGB RAID-5=3.9T+HS=4.2T,16GB*16=256GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,28,H19,88LM-VS-VM-1-3,10.0.16.102,,172.16.16.102,r820,17YL442,,E5-4603 v2 @ 2.20GHz ---  4*4C*2=32,HDD ------- 16*1.2T RAID-5+HS=15T,32GB*16=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,25,H19,88LM-VS-VM-1-4,10.0.16.103,,172.16.16.103,r820,D1S9742,,E5-4603 v2 @ 2.20GHz ---  4*4C*2=33, HDD -------- 16*1.2T RAID-5+HS=15T,32GB*16=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,8,H19,88LM-VS-VM-1-5,10.0.16.104,,172.16.16.231,R930,7ZW70H2,, E7-8860 v4 @ 2.20GHz --- 4*18C*2=144,HDD ------- 24*1.2T RAID-50=17.8T,32GB*32=1024GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,23,H16,DT-VM-1-1,,172.16.16.207,172.16.16.200,R820,CNDRW72,,E5-4610 v2 @ 2.30GHz --- 4*8C*2=64,HDD------------16*1.2T RAID-10=9T,16G*32=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,19,H19,88lM-DB-PD-1-2,10.0.12.11,,172.16.16.119,r730,4TW49K2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,SSD ------------ 16*760GB RAID-1=744GB RAID-10=5.2T,32G*16=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,22,H19,88LM-DB-PD-1-1,10.0.12.90,192.168.12.90,172.16.16.118,r730,4TW29K2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,SSD ------------ 16*760GB RAID-1=744GB RAID-10=5.2T,32G*16=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,6,H18,88LM-DB-1-3 (H18),,,172.16.16.130,R730xd,9XQ1XJ2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,SSD -- 17*760GB RAID-1=200GB RAID-1=550GB HDD-- 8*1.8T 2*RAID-5=4.5T RAID-5=10T,32GB*24=768GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,23,H15,88lm-mysql-1-1（H15）,,,172.16.2.14,r730,B1HNNK2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD-2*1.2T RAID-1=1.2T;SSD--10*900G 10*RAID-0=893GB,32G*16=512GB,已使用,y
三墩,熊猫彩站,dell,物理机,2,20,H15,88lm-mysql-1-2（H15）,,,172.16.2.15,r730,7R27WK2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,"SSD ---------- 16*900G RAID-1=893GB ,14*RAID-0=893GB  ",32GB*16=512GB,已使用,y
三墩,熊猫彩站,h3c,防火墙,1,3,H19,88LM-MG-ACCESS-1,10.4.230.2,192.168.14.2,,ZP-RM20082U,ZM174S035992,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,SSD  12*900G 10*RAID-0=893GB HDD ---2*1.2T RAID-1=1.2T,32GB*16=512GB,已使用,y
三墩,熊猫彩站,h3c,防火墙,1,41,H19,H19-88lm-fw-1-1,,,,F1005,219801A0X09175Q00086,,,,,已使用,y
三墩,熊猫彩站,h3c,交换机,1,40,H19,H19-88lm-fw-1-2,,,,F1005,219801A0X09175Q00052,,,,,已使用,y
三墩,熊猫彩站,h3c,交换机,1,38,H19,H19-88lm-sw-1-1,,,, S5560-54C-EI,210235A1GCH177000666,,,,,已使用,y
三墩,竞彩之家,dell,物理机,1,37,H19,H19-88lm-sw-1-1,,,, S5560-54C-EI,210235A1GCH16C000830,,,,,已使用,y
三墩,竞彩之家,dell,物理机,1,23,H17,JCZJ-WEB-PB-1-1,10.0.10.1,,172.16.16.120,r430,8JTHHG2,,,,,已使用,y
三墩,竞彩之家,dell,物理机,2,21,H17,JCZJ-WEB-PB-1-2,10.0.10.2,,172.16.16.121,r430,8JSLHG2,,E5-2630 v3 @ 2.40GH  ---- 2*8C*2=32,HDD ------- 8*1.2T  RAID-10=4.46T,16GB*4=64GB,已使用,y
三墩,竞彩之家,dell,物理机,2,19,H17,JCZJ-VS-VM-1-1,10.0.16.50,,172.16.16.122,r730xd,8LTPZG2,,E5-2630 v3 @ 2.40GH  ---- 2*8C*2=32,64G HDD 8*1.2T  5T,16GB*4=64GB,已使用,y
三墩,竞彩之家,dell,物理机,2,16,H17,JCZJ-VS-VM-1-2,10.0.16.51,,172.16.16.123,r730xd,8LCQZG2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD --------- 24*1.2T RAID-10=13T,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,13,H17,JCZJ-VS-VM-1-3,10.0.16.52,,172.16.16.124,r730xd,HVGPFD2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD --------- 24*1.2T RAID-10=13T,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,10,H17,JCZJ-VS-VM-1-4,10.0.16.53,,172.16.16.125,r730xd,HVGQFD2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD --------- 24*1.2T RAID-10=13T,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,7,H17,JCZJ-VS-VM-1-5,10.0.16.54,,172.16.16.126,r730xd,HVH0GD2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD --------- 24*1.2T RAID-10=13T,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,37,H18,JCZ-QD-COM1,10.0.12.31,192.168.12.31,172.16.16.104,r730,3WL3XJ2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD --------- 24*1.2T RAID-10=13T,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,34,H18,JCZJ-QD-COM2,10.0.12.32,192.168.12.32,172.16.16.105,r730,3WJ7XJ2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,2 x 1.2TB 10K RPM SAS Disks,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,31,H18,JCZJ-QD-COM3,10.0.12.33,192.168.12.33,172.16.16.106,r730,3WJ2XJ2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,2 x 1.2TB 10K RPM SAS Disks,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,21,H18,JCZJ-QD-STO1,10.0.12.34,192.168.12.34,172.16.16.107,r730,3TQ2XJ2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,2 x 1.2TB 10K RPM SAS Disks,32G*16=512GB,已使用,y
三墩,竞彩之家,dell,物理机,2,18,H18,JCZJ-QD-STO2,10.0.12.35,192.168.12.35,172.16.16.108,r730,3TQ5XJ2,沃趣_江南,E5-2630 v4 @ 2.20GHz --- 2*10C*2=44,"2 x 1.2TB 10K RPM SAS Disks,7 x Intel 800GB SSD",16GB*4=64GB,已使用,y
三墩,竞彩之家,dell,物理机,2,15,H18,JCZ-QD-STO3,10.0.12.36,192.168.12.36,172.16.16.109,r730,3TP8XJ2,沃趣_江南,E5-2630 v4 @ 2.20GHz --- 2*10C*2=44,"2 x 1.2TB 10K RPM SAS Disks,7 x Intel 800GB SSD",16GB*4=64GB,已使用,y
三墩,竞彩之家,dell,物理机,2,6,H16,JCZJ-QB-BK-1-1,,,172.16.16.117,r730,68RB4J2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,(SSD raid-1 200GB; raid-1 544GB; RAID-5 4.6T;raid-5 4.6T )HDD 9.8T ,32GB*24=768GB,已使用,y
三墩,竞彩之家,dell,物理机,2,3,H18,JCZJ-MG-ACCESS-1,10.4.230.2,192.168.14.3,172.16.16.3,ZP-RM20082U,ZM174S035991,易星_周黎明,,,,已使用,y
三墩,竞彩之家,infiniband,交换机,1,25,H18,IB Switch 1（DB）,,,,,,,,,,已使用,y
三墩,竞彩之家,infiniband,交换机,1,23,H18,IB Switch 2（DB）,,,,,,,,,,已使用,y
三墩,竞彩之家,h3c,防火墙,1,35,H17,JCZJ-FW-1-1,10.0.0.1,,,F1005,219801A0X0916CQ00374,,,,,已使用,y
三墩,竞彩之家,h3c,防火墙,1,33,H17,JCZJ-FW-1-2,,,,F1005,219801A0X0916CQ00389,,,,,已使用,y
三墩,竞彩之家,h3c,交换机,1,31,H17,JCZJ-SW-1-1,192.168.120.2,,,S5560-54C-EI,210235A1GCH164000508,,,,,已使用,y
三墩,竞彩之家,h3c,交换机,1,29,H17,JCZJ-SW-1-2,,,,S5560-54C-EI,210235A1GCH174000870,,,,,已使用,y
三墩,竞彩之家,h3c,交换机,1,27,H17,JCZJ-lb-1-1,192.168.140.2,,, L1000-S,210235A1MBH173000010,,,,,已使用,y
三墩,大数据,h3c,交换机,1,25,H17,JCZJ-lb-1-2,,,, L1000-S,210235A1MBH173000014,,,,,已使用,y
三墩,大数据,dell,物理机,2,20,H16,HW-PD-1-1(HHS-DB-PD-1-2),10.0.12.29,192.168.16.16,172.16.16.98,r730xd,4TW09K2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,SSD ----- 22*1.5T RAID-1=1.5t 2*RAID-10=7.4T ;HDD -------- RAID-1=1.11t,32GB*24=768GB,已使用,y
三墩,大数据,dell,物理机,1,33,H16,DT-WH-1-1,,192.168.16.11,172.16.16.201,r430,8ZRNNK2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ------ 8*1.2T RAID-5=6.7TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,31,H16,DT-WH-1-2,,192.168.16.12,172.16.16.202,r430,8ZQHNK2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ------ 8*1.2T RAID-5=6.7TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,29,H16,DT-WH-1-3,,192.168.16.13,172.16.16.203,r430,8ZSLNK2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ------ 8*1.2T RAID-5=6.7TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,27,H16,DT-WH-1-4,,192.168.16.14,172.16.16.204,r430,8ZQPNK2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ------ 8*1.2T RAID-5=6.7TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,25,H16,DT-WH-1-5,,192.168.16.15,172.16.16.205,r430,8ZSNNK2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ------ 8*1.2T RAID-5=6.7TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,23,H16,DT-WH-1-6,,192.168.16.21,172.16.16.216,r630,92P6GL2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ----- 10*1.8T RAID-5=1.5TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,21,H16,DT-WH-1-7,,192.168.16.22,172.16.16.217,r630,92L6GL2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ----- 10*1.8T RAID-5=1.5TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,19,H16,DT-WH-1-8,,192.168.16.23,172.16.16.218,r630,B969GL2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ----- 10*1.8T RAID-5=1.5TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,17,H16,DT-WH-1-9,,192.168.16.24,172.16.16.219,r630,92Q9GL2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ----- 10*1.8T RAID-5=1.5TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,15,H16,DT-WH-1-10,,192.168.16.25,172.16.16.220,r630,B967GL2,沃趣_江南,E5-2630 v4 2.20GHz ----  2*10C*2=40,HDD ----- 10*1.8T RAID-5=1.5TB,16G*12=128GB,已使用,y
三墩,大数据,dell,物理机,1,13,H16,DT-WH-1-11,,,172.16.16.131,R820,8T0VF52,,E5-4610 v2 @ 2.30GHz --- 4*8C*2=64,HDD ----- 16*1.2T RAID-0=17.8TB,16GB*16=256GB,已使用,y
三墩,大数据,dell,物理机,1,11,H16,DT-WH-1-12,,,172.16.16.132,R820,9J1TF52,,E5-4610 v2 @ 2.30GHz --- 4*8C*2=64,HDD ----- 16*1.2T RAID-0=17.8TB,16GB*16=256GB,已使用,y
